id,area_name,homicide_2020,assault_2020,assault_2021,assault_2022,assault_2023,assault_rate_2020,assault_rate_2021,assault_rate_2022,assault_rate_2023,homicide_2021,homicide_2022,homicide_2023,homicide_rate_2020,homicide_rate_2021,homicide_rate_2022,homicide_rate_2023,robbery_2020,robbery_2021,robbery_2022,robbery_2023,robbery_rate_2020,robbery_rate_2021,robbery_rate_2022,robbery_rate_2023,shooting_2020,shooting_2021,shooting_2022,shooting_2023,shooting_rate_2020,shooting_rate_2021,shooting_rate_2022,shooting_rate_2023
23,Guildwood,0,37,36,37,56,360.4832458,351.8373718,360.0272522,542.0054321,2,0,0,0,19.54652023,0,0,3,4,6,1,29.22837067,39.09304047,58.38279724,9.678668022,1,0,1,0,9.742790222,0,9.730465889,0
24,Scarborough Village,1,180,120,156,153,1027.221313,687.1278076,889.8015137,863.7723999,0,0,0,5.706785202,0,0,0,17,15,9,24,97.01535034,85.89097595,51.33470154,135.4936981,3,3,1,2,17.12035561,17.17819595,5.703855991,11.29114246
25,Eglinton East,2,146,161,174,168,611.6464233,675.5339355,726.1194458,693.3267212,3,1,1,8.378718376,12.58758831,4.173099995,4.126945019,21,16,25,33,87.97653961,67.13380432,104.327507,136.1891785,11,8,6,3,46.08295059,33.56690216,25.03860092,12.38083458
26,West Hill,2,336,328,382,443,1164.281494,1139.324097,1319.926758,1514.064087,0,1,2,6.93024683,0,3.455305576,6.835503578,36,43,63,56,124.7444458,149.3626099,217.6842499,191.394104,7,5,7,11,24.2558651,17.36774445,24.18713951,37.59526825
27,Morningside,1,106,83,125,131,578.6973877,454.7695923,681.7562256,709.5271606,0,1,0,5.459409237,0,5.454049587,0,8,5,17,3,43.6752739,27.39575958,92.71884155,16.24871445,8,3,7,4,43.6752739,16.43745613,38.17834854,21.66495132
28,Highland Creek,0,33,42,60,64,244.227356,310.4212952,439.335144,461.3942871,1,0,0,0,7.390983105,0,0,2,2,2,3,14.80165768,14.78196621,14.64450455,21.62785721,0,0,0,3,0,0,0,21.62785721
29,Centennial Scarborough,0,47,37,39,39,326.7292175,257.2302551,268.8728027,266.9587097,0,0,0,0,0,0,0,3,6,0,7,20.85505676,41.7130127,0,47.91566849,1,0,0,0,6.951685905,0,0,0
30,Milliken,0,85,64,67,89,303.5497437,228.9967041,238.1460114,313.7006226,1,1,0,0,3.578073502,3.554418087,0,32,16,34,37,114.2775497,57.24917603,120.8502197,130.414856,1,6,4,3,3.571173429,21.46844101,14.21767235,10.57417774
31,Agincourt North,0,74,62,78,82,239.4899445,200.9659271,251.4344635,262.3160706,0,0,0,0,0,0,0,17,7,11,15,55.01796341,22.68970299,35.4587059,47.98464584,2,0,1,1,6.47270155,0,3.223518848,3.198976278
32,Agincourt South-Malvern West,2,127,152,177,191,477.2462463,565.0557861,645.8204346,679.7879028,1,0,0,7.515688896,3.717472076,0,0,18,19,33,18,67.6411972,70.63197327,120.407196,64.06378174,1,5,3,6,3.757844448,18.58736038,10.94610882,21.35459328
33,Dorset Park,0,129,141,187,218,495.3916931,543.1223755,716.6672974,829.3388062,3,0,4,0,11.55579567,0,15.21722603,25,17,30,30,96.00614166,65.48284149,114.9733658,114.1291962,6,6,5,2,23.0414753,23.11159134,19.16222763,7.608613014
34,Ionview,0,85,92,83,126,596.2401733,650.3605347,587.361145,892.2880859,0,0,0,0,0,0,0,2,4,4,4,14.02918053,28.27654457,28.30656052,28.32660484,1,0,2,2,7.014590263,0,14.15328026,14.16330242
35,Kennedy Park,0,183,182,226,317,1011.944275,1013.024597,1254.022827,1744.345947,2,0,0,0,11.13213825,0,0,27,28,30,33,149.3032532,155.8499451,166.4632111,181.5880737,1,2,3,7,5.52974987,11.13213825,16.64632034,38.51868057
36,Cliffcrest,0,110,98,134,183,635.5809937,564.1261597,762.6202393,1021.09137,1,0,1,0,5.756389618,0,5.579734325,23,13,14,13,132.8942108,74.83306122,79.67674255,72.5365448,1,0,4,4,5.778008938,0,22.76478195,22.3189373
37,Birchcliffe-Cliffside,0,146,142,159,209,630.5878296,615.3846436,685.5812378,892.5139771,0,1,0,0,0,4.311831474,0,21,14,15,13,90.70098877,60.67172241,64.67747498,55.51522446,0,1,0,1,0,4.333694458,0,4.270401955
38,Downtown Yonge East,1,508,599,543,656,3184.354004,3633.606201,3168.952393,3639.793701,0,0,2,6.268413544,0,0,11.09693146,86,96,76,90,539.0835571,582.3475952,443.5366211,499.3619385,4,7,3,5,25.07365417,42.46284485,17.50802422,27.74232864
39,Church-Wellesley,0,306,399,385,334,1438.443115,1841.425171,1730.725952,1456.098999,0,1,1,0,0,4.495392323,4.359578133,57,41,43,55,267.945282,189.2191315,193.3018646,239.7767944,1,2,2,1,4.70079422,9.230200768,8.990784645,4.359578133
40,St Lawrence-East Bayfront-The Islands,0,278,365,403,445,977.668396,1252.65979,1336.73877,1435.344971,0,2,0,0,0,6.633939266,0,45,43,34,42,158.2556763,147.5736084,112.7769699,135.4707642,4,2,5,3,14.0671711,6.863889217,16.5848484,9.676483154
41,Harbourfront-CityPlace,2,224,283,266,271,752.3342285,938.7335205,863.4681396,860.946106,0,0,1,6.717269897,0,0,3.176922798,16,23,33,22,53.73815918,76.29283142,107.1219864,69.89230347,5,6,3,3,16.79317474,19.90247726,9.738362312,9.530768394
42,Wellington Place,1,320,375,474,429,1280,1424.772095,1698.742065,1485.971558,1,2,1,4,3.799391985,7.167687893,3.463803291,24,26,63,46,96,98.78419495,225.7821808,159.3349457,2,6,8,6,8,22.79635239,28.67075157,20.78281975
43,Fort York-Liberty Village,0,93,153,164,167,452.2906189,734.2355347,768.9422607,763.9524536,0,0,2,0,0,0,9.149130821,14,7,10,7,68.08676147,33.59247589,46.88672256,32.0219574,1,2,4,1,4.863340378,9.597849846,18.754688260000002,4.574565411
44,West Queen West,1,102,112,117,108,698.7258301,764.0357666,789.6868286,713.5306396,0,0,0,6.850253582,0,0,0,8,13,6,10,54.80202866,88.682724,40.49676132,66.06764984,0,1,0,0,0,6.82174778,0,0
45,Humber Bay Shores,0,82,102,121,152,424.9585266,520.7801514,602.7397461,729.9971313,0,2,0,0,0,9.962639809,0,8,6,8,9,41.45936966,30.63412666,39.85055923,43.22351456,1,1,3,1,5.182421207,5.105687618,14.94396019,4.802612782
46,Mimico-Queensway,1,205,268,343,519,1130.722534,1480.744751,1885.029663,2834.052246,0,0,1,5.515719891,0,0,5.460601807,3,8,16,8,16.54715919,44.20133591,87.93141174,43.68481445,1,2,1,2,5.515719891,11.05033398,5.495713234,10.92120361
47,Etobicoke City Centre,0,142,156,205,308,596.814209,645.8023071,828.3497925,1208.079956,1,1,3,0,4.13975811,4.040730476,11.76701355,19,11,43,40,79.85542297,45.53734207,173.7514191,156.8935089,3,3,2,4,12.60875034,12.41927433,8.081460953,15.68935108
48,Islington,0,75,56,96,137,299.808136,223.1342316,378.3400269,528.2029419,0,0,0,0,0,0,0,16,10,26,12,63.95906448,39.84539795,102.4670944,46.26595306,1,1,0,0,3.99744153,3.984539986,0,0
49,Bendale South,0,79,62,41,82,719.293457,569.2250977,376.76898190000003,753.6071777,0,0,0,0,0,0,0,3,9,5,20,27.31494141,82.62945557,45.94743729,183.8066406,3,2,1,1,27.31494141,18.3621006,9.189487457,9.190331459
50,Caledonia-Fairbank,0,51,65,61,63,484.6526794,621.414917,581.2845459,595.4068604,0,0,1,0,0,0,9.450902939,7,3,4,4,66.52095032,28.68068886,38.11701965,37.80361176,2,2,0,2,19.00598717,19.1204586,0,18.90180588
51,Briar Hill-Belgravia,0,75,65,91,89,496.1958313,432.4396362,603.288269,587.6138916,1,1,0,0,6.652917385,6.629541397,0,8,14,14,22,52.92755508,93.14083862,92.81357574,145.2528687,1,0,6,1,6.615944386,0,39.77724838,6.602403164
52,Oakwood Village,2,126,103,164,112,564.7944946,464.2149048,737.3768921,499.9107361,0,0,0,8.96499157,0,0,0,25,14,25,13,112.0623932,63.09716797,112.405014,58.02535248,7,3,5,2,31.37747192,13.52082253,22.48100281,8.926977158
53,Humewood-Cedarvale,0,42,49,42,54,273.1707458,319.1974487,271.7039795,345.7106323,0,0,0,0,0,0,0,6,3,5,1,39.02439117,19.54270172,32.34571075,6.402048588,0,0,1,0,0,0,6.46914196,0
54,Lawrence Park North,0,43,38,32,32,277.5447083,246.4651642,206.7183533,205.3783417,0,0,0,0,0,0,0,12,8,6,6,77.45433044,51.8874054,38.75968933,38.50843811,0,0,0,0,0,0,0,0
55,Lawrence Park South,0,27,35,33,33,164.1736603,212.9342346,199.3716736,196.686142,0,0,0,0,0,0,0,12,7,8,7,72.96607208,42.5868454,48.33252716,41.72130203,0,0,1,0,0,0,6.041565895,0
56,Forest Hill North,0,40,40,45,63,301.5908813,303.7897644,341.5559692,478.287262,0,0,0,0,0,0,0,16,2,7,9,120.6363602,15.18948841,53.13092804,68.32675171,0,1,0,0,0,7.594744205,0,0
57,Forest Hill South,0,26,18,33,43,221.5028076,152.5423737,275.8505249,353.6184082,0,0,0,0,0,0,0,5,2,0,1,42.59669495,16.94915199,0,8.223684311,0,0,0,1,0,0,0,8.223684311
58,Yonge-Eglinton,0,91,64,123,104,691.7521973,483.7124939,916.4741821,756.7489014,0,1,0,0,0,7.45100975,0,9,4,4,12,68.41505432,30.23203087,29.804039,87.31717682,0,0,1,2,0,0,7.45100975,14.55286312
59,Mount Pleasant East,0,42,47,54,77,234.4796753,263.3790894,301.1040344,425.790741,0,0,0,0,0,0,0,15,9,4,8,83.74274445,50.43429565,22.30400276,44.23799896,0,0,1,0,0,0,5.57600069,0
60,Rosedale-Moore Park,0,148,150,215,271,660.4489136,668.2407227,947.9299927,1175.552002,1,0,1,0,4.454938412,0,4.337830067,22,28,20,24,98.17484283,124.7382736,88.17953491,104.1079254,1,1,1,1,4.462492943,4.454938412,4.408976555,4.337830067
61,Yonge-St.Clair,0,23,50,45,35,169.9423676,368.8131714,328.5151062,250.8421173,0,0,0,0,0,0,0,4,5,7,2,29.55519485,36.88131714,51.10235214,14.33383465,0,0,0,0,0,0,0,0
